Model_name	Symbol	Full Name	Short_description	sample_1	sample_2	value_1	value_2	log2(fold_change)	q_value
AT4G19720.1			Glycosyl hydrolase family protein with chitinase insertion domain	GFP-BRC1	brc1 k.o.	1.322	2.77639	1.07048	0.000800238
AT2G11810.2	ATMGD3		monogalactosyldiacylglycerol synthase type C	GFP-BRC1	brc1 k.o.	0.5427955	1.13978	1.070274717	0.00669303
AT3G46880.1				GFP-BRC1	brc1 k.o.	2.79983	5.87724	1.0698	0.00306362
AT5G14730.1				GFP-BRC1	brc1 k.o.	9.04203	18.9792	1.0697	0.000421383
AT5G20860.1			Plant invertase/pectin methylesterase inhibitor superfamily	GFP-BRC1	brc1 k.o.	0.457192	0.959033	1.06878	0.00876587
AT2G23130.2	AGP17	arabinogalactan protein 17	arabinogalactan protein 17	GFP-BRC1	brc1 k.o.	9.901935	20.76	1.06802406	0.000421383
AT4G03510.2	ATRMA1		RING membrane-anchor 1	GFP-BRC1	brc1 k.o.	5.30306	11.108145	1.066720938	0.000421383
AT5G05440.1	PYL5	PYRABACTIN RESISTANCE 1-LIKE 5	Polyketide cyclase/dehydrase and lipid transport superfamily protein	GFP-BRC1	brc1 k.o.	28.0313	58.6977	1.06627	0.000421383
AT3G44550.1	FAR5	fatty acid reductase 5	fatty acid reductase 5	GFP-BRC1	brc1 k.o.	6.96979	14.5896	1.06575	0.000421383
AT1G23140.1			Calcium-dependent lipid-binding (CaLB domain) family protein	GFP-BRC1	brc1 k.o.	8.6884	18.186	1.06567	0.000421383
AT1G65790.1	ARK1	receptor kinase 1	receptor kinase 1	GFP-BRC1	brc1 k.o.	0.748545	1.56632	1.06521	0.000421383
AT1G21240.1	WAK3	wall associated kinase 3	wall associated kinase 3	GFP-BRC1	brc1 k.o.	0.565301	1.18189	1.064	0.00115255
AT1G20070.1				GFP-BRC1	brc1 k.o.	5.31252	11.1032	1.0635	0.000421383
AT4G30670.1			Putative membrane lipoprotein	GFP-BRC1	brc1 k.o.	39.8903	83.3695	1.06348	0.000421383
AT5G02260.1	ATEXP9		expansin A9	GFP-BRC1	brc1 k.o.	17.632	36.8398	1.06307	0.000421383
AT1G76800.1			Vacuolar iron transporter (VIT) family protein	GFP-BRC1	brc1 k.o.	1.25192	2.6156	1.063	0.00245852
AT5G64000.1	ATSAL2		Inositol monophosphatase family protein	GFP-BRC1	brc1 k.o.	2.8689	5.99223	1.06259	0.000421383
AT2G44370.1			Cysteine/Histidine-rich C1 domain family protein	GFP-BRC1	brc1 k.o.	13.282	27.7388	1.06243	0.000421383
AT4G23600.2	CORI3	CORONATINE INDUCED 1	Tyrosine transaminase family protein	GFP-BRC1	brc1 k.o.	7.74572	16.17646667	1.062425267	0.000421383
AT1G20190.1	ATEXP11		expansin 11	GFP-BRC1	brc1 k.o.	13.2908	27.7549	1.06231	0.000421383
AT2G27389.1				GFP-BRC1	brc1 k.o.	1.76113	3.67707	1.06206	0.00214461
AT5G28770.3	AtbZIP63	Arabidopsis thaliana basic leucine zipper 63	bZIP transcription factor family protein	GFP-BRC1	brc1 k.o.	8.11802	16.9488	1.061983333	0.000421383
AT3G48720.1	DCF	DEFICIENT IN CUTIN FERULATE	HXXXD-type acyl-transferase family protein	GFP-BRC1	brc1 k.o.	15.6873	32.7459	1.06171	0.000421383
AT2G25810.1	TIP4		tonoplast intrinsic protein 4;1	GFP-BRC1	brc1 k.o.	12.0816	25.204	1.06084	0.000421383
AT5G51780.1			basic helix-loop-helix (bHLH) DNA-binding superfamily protein	GFP-BRC1	brc1 k.o.	3.04071	6.34263	1.06067	0.000421383
AT4G15260.1			UDP-Glycosyltransferase superfamily protein	GFP-BRC1	brc1 k.o.	3.61165	7.53203	1.06038	0.000421383
AT1G68840.2	AtRAV2		related to ABI3/VP1 2	GFP-BRC1	brc1 k.o.	17.29915	36.07615	1.060344232	0.000421383
AT1G64060.1	ATRBOH F	respiratory burst oxidase protein F	respiratory burst oxidase protein F	GFP-BRC1	brc1 k.o.	5.03566	10.5008	1.06025	0.000421383
AT1G16110.1	WAKL6	wall associated kinase-like 6	wall associated kinase-like 6	GFP-BRC1	brc1 k.o.	2.95689	6.16352	1.05967	0.000421383
AT5G24110.1	ATWRKY30	ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 30	WRKY DNA-binding protein 30	GFP-BRC1	brc1 k.o.	0.689679	1.43659	1.05865	0.00695673
AT5G56980.1				GFP-BRC1	brc1 k.o.	8.3339	17.354	1.05821	0.000421383
AT1G61740.1			Sulfite exporter TauE/SafE family protein	GFP-BRC1	brc1 k.o.	48.0176	99.9886	1.0582	0.000421383
AT1G77210.2	AtSTP14	sugar transport protein 14	sugar transporter 14	GFP-BRC1	brc1 k.o.	3.60558	7.507	1.05800513	0.000421383
AT2G30615.1				GFP-BRC1	brc1 k.o.	5.56484	11.5848	1.05782	0.000421383
AT1G25400.1				GFP-BRC1	brc1 k.o.	2.79772	5.8165	1.055899709	0.000421383
AT4G18940.1			RNA ligase/cyclic nucleotide phosphodiesterase family protein	GFP-BRC1	brc1 k.o.	2.21478	4.60339	1.05553	0.00115255
AT5G48560.1			basic helix-loop-helix (bHLH) DNA-binding superfamily protein	GFP-BRC1	brc1 k.o.	6.19269	12.8633	1.05462	0.000421383
AT1G79770.1			Protein of unknown function (DUF1677)	GFP-BRC1	brc1 k.o.	0.851641	1.76822	1.05398	0.0455457
AT5G15180.1			Peroxidase superfamily protein	GFP-BRC1	brc1 k.o.	2.49982	5.18991	1.05388	0.000421383
AT1G65840.1	ATPAO4	polyamine oxidase 4	polyamine oxidase 4	GFP-BRC1	brc1 k.o.	55.2186	114.569	1.053	0.000421383
AT2G46940.1				GFP-BRC1	brc1 k.o.	1.60432	3.32816	1.05276	0.00115255
AT1G72416.4			Chaperone DnaJ-domain superfamily protein	GFP-BRC1	brc1 k.o.	3.755908	7.788762	1.05223231	0.000421383
AT2G44490.1	BGLU26	BETA GLUCOSIDASE 26	Glycosyl hydrolase superfamily protein	GFP-BRC1	brc1 k.o.	86.5732	179.527	1.05221	0.000421383
AT5G66790.1			Protein kinase superfamily protein	GFP-BRC1	brc1 k.o.	2.55287	5.29373	1.05216	0.000421383
AT4G23060.1	IQD22	IQ-domain 22	IQ-domain 22	GFP-BRC1	brc1 k.o.	4.52923	9.37488	1.04953	0.000421383
AT1G55240.1			Family of unknown function (DUF716) 	GFP-BRC1	brc1 k.o.	1.29032	2.67065	1.04946	0.000421383
AT1G69230.1	SP1L2	SPIRAL1-like2	SPIRAL1-like2	GFP-BRC1	brc1 k.o.	1.81923	3.76459	1.04917	0.00507035
AT1G67900.2			Phototropic-responsive NPH3 family protein	GFP-BRC1	brc1 k.o.	2.125146667	4.394103333	1.048006385	0.000421383
AT2G18480.1			Major facilitator superfamily protein	GFP-BRC1	brc1 k.o.	0.541399	1.11892	1.04734	0.00364449
AT3G14210.1	ESM1	epithiospecifier modifier 1	epithiospecifier modifier 1	GFP-BRC1	brc1 k.o.	110.914	229.184	1.04706	0.000421383
AT3G26590.1			MATE efflux family protein	GFP-BRC1	brc1 k.o.	6.20705	12.8192	1.04632	0.000421383
AT4G15340.1	04C11		pentacyclic triterpene synthase 1	GFP-BRC1	brc1 k.o.	1.30534	2.69427	1.04547	0.000421383
AT1G55850.1	ATCSLE1		cellulose synthase like E1	GFP-BRC1	brc1 k.o.	29.0527	59.93	1.04461	0.000421383
AT4G15920.1	AtSWEET17		Nodulin MtN3 family protein	GFP-BRC1	brc1 k.o.	21.0556	43.4334	1.0446	0.000421383
AT2G23960.1			Class I glutamine amidotransferase-like superfamily protein	GFP-BRC1	brc1 k.o.	1.59162	3.28253	1.04431	0.00214461
AT1G60140.1	ATTPS10	trehalose phosphate synthase	trehalose phosphate synthase	GFP-BRC1	brc1 k.o.	12.0452	24.829	1.04357	0.000421383
AT5G51500.1			Plant invertase/pectin methylesterase inhibitor superfamily	GFP-BRC1	brc1 k.o.	1.04545	2.15392	1.04284	0.000800238
AT5G20150.1	ATSPX1	ARABIDOPSIS THALIANA SPX  DOMAIN GENE 1	SPX  domain gene 1	GFP-BRC1	brc1 k.o.	14.6982	30.2807	1.04276	0.000421383
AT2G35260.1				GFP-BRC1	brc1 k.o.	46.8638	96.5231	1.0424	0.000421383
AT2G30520.2	RPT2	ROOT PHOTOTROPISM 2	Phototropic-responsive NPH3 family protein	GFP-BRC1	brc1 k.o.	10.0389675	20.673125	1.04214559	0.00275982
AT1G13500.1			Protein of unknown function (DUF1262)	GFP-BRC1	brc1 k.o.	0.479554	0.986692	1.04091	0.0212483
AT5G06839.2	bZIP65		bZIP transcription factor family protein	GFP-BRC1	brc1 k.o.	1.073550333	2.20846	1.040650869	0.000421383
AT4G09760.2			Protein kinase superfamily protein	GFP-BRC1	brc1 k.o.	7.591183333	15.61203333	1.040261749	0.000421383
AT1G01180.1			S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	GFP-BRC1	brc1 k.o.	4.22944	8.69437	1.03961	0.000421383
AT1G72140.1			Major facilitator superfamily protein	GFP-BRC1	brc1 k.o.	2.45782	5.05	1.0389	0.000421383
AT1G72870.1			Disease resistance protein (TIR-NBS class)	GFP-BRC1	brc1 k.o.	0.916589	1.88212	1.03801	0.000421383
AT5G40230.1	UMAMIT37	Usually multiple acids move in and out Transporters 37	nodulin MtN21 /EamA-like transporter family protein	GFP-BRC1	brc1 k.o.	1.01641	2.08655	1.03763	0.000800238
AT1G73270.1	scpl6	serine carboxypeptidase-like 6	serine carboxypeptidase-like 6	GFP-BRC1	brc1 k.o.	1.2863	2.64041	1.03753	0.00115255
AT4G29190.1	AtC3H49		Zinc finger C-x8-C-x5-C-x3-H type family protein	GFP-BRC1	brc1 k.o.	8.83459	18.1296	1.03711	0.000421383
AT2G26530.1	AR781		Protein of unknown function (DUF1645)	GFP-BRC1	brc1 k.o.	2.38513	4.89149	1.036206091	0.000421383
AT1G35350.1			EXS (ERD1/XPR1/SYG1) family protein	GFP-BRC1	brc1 k.o.	7.3742	15.1184	1.03574	0.000421383
AT2G07675.1			Ribosomal protein S12/S23 family protein	GFP-BRC1	brc1 k.o.	2.04876	4.1981	1.03499	0.0307443
AT5G48110.1			Terpenoid cyclases/Protein prenyltransferases superfamily protein	GFP-BRC1	brc1 k.o.	3.48913	7.14937	1.03495	0.000421383
AT5G06090.1	ATGPAT7	GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 7	glycerol-3-phosphate acyltransferase 7	GFP-BRC1	brc1 k.o.	0.646583	1.32487	1.03494	0.00245852
AT1G12240.1	ATBETAFRUCT4		Glycosyl hydrolases family 32 protein	GFP-BRC1	brc1 k.o.	15.6582	32.0793	1.03472	0.000421383
AT2G02220.1	ATPSKR1	PHYTOSULFOKIN RECEPTOR 1	phytosulfokin receptor 1	GFP-BRC1	brc1 k.o.	8.07491	16.5214	1.03282	0.000421383
AT5G37990.1			S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	GFP-BRC1	brc1 k.o.	22.4088	45.8458	1.03272	0.000421383
AT1G13448.1			other RNA	GFP-BRC1	brc1 k.o.	1.18775	2.42752	1.03125	0.0269835
AT3G45140.1	ATLOX2	ARABIODOPSIS THALIANA LIPOXYGENASE 2	lipoxygenase 2	GFP-BRC1	brc1 k.o.	34.7934	71.1104	1.03124	0.000421383
AT2G04170.3			TRAF-like family protein	GFP-BRC1	brc1 k.o.	1.813724	3.700716	1.028849492	0.000421383
AT3G62550.1			Adenine nucleotide alpha hydrolases-like superfamily protein	GFP-BRC1	brc1 k.o.	145.943	297.777	1.02883	0.000421383
AT3G56980.1	BHLH039		basic helix-loop-helix (bHLH) DNA-binding superfamily protein	GFP-BRC1	brc1 k.o.	53.8665	109.841	1.02796	0.000421383
AT2G29670.1			Tetratricopeptide repeat (TPR)-like superfamily protein	GFP-BRC1	brc1 k.o.	18.1129	36.8981	1.02653	0.000421383
AT2G29120.1	ATGLR2.7	glutamate receptor 2.7	glutamate receptor 2.7	GFP-BRC1	brc1 k.o.	1.70802	3.47637	1.02526	0.000421383
AT1G72510.1			Protein of unknown function (DUF1677)	GFP-BRC1	brc1 k.o.	14.1908	28.86935	1.024582702	0.000421383
AT5G08760.1				GFP-BRC1	brc1 k.o.	22.4521	45.6722	1.02446	0.000421383
AT4G12440.2	APT4	adenine phosphoribosyl transferase 4	adenine phosphoribosyl transferase 4	GFP-BRC1	brc1 k.o.	1.20294	2.44695	1.02442	0.0283721
AT1G80440.1	KMD1	KISS ME DEADLY 1	Galactose oxidase/kelch repeat superfamily protein	GFP-BRC1	brc1 k.o.	21.3617	43.4326	1.02375	0.000421383
AT4G15230.1	ABCG30	ATP-binding cassette G30	pleiotropic drug resistance 2	GFP-BRC1	brc1 k.o.	1.91449	3.89115	1.02324	0.000421383
AT3G47820.1	PUB39	PLANT U-BOX 39	PLANT U-BOX 39	GFP-BRC1	brc1 k.o.	3.39336	6.89523	1.02288	0.000421383
AT5G23870.3			Pectinacetylesterase family protein	GFP-BRC1	brc1 k.o.	1.27017	2.580463333	1.02260853	0.000421383
AT3G19430.1			late embryogenesis abundant protein-related / LEA protein-related	GFP-BRC1	brc1 k.o.	4.19966	8.53038	1.02234	0.000421383
AT3G29035.1	ANAC059	Arabidopsis NAC domain containing protein 59	NAC domain containing protein 3	GFP-BRC1	brc1 k.o.	7.07314	14.3601	1.02164	0.000421383
AT4G31800.2	ATWRKY18	ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 18	WRKY DNA-binding protein 18	GFP-BRC1	brc1 k.o.	8.515825	17.2857	1.02136082	0.000421383
AT3G26490.1			Phototropic-responsive NPH3 family protein	GFP-BRC1	brc1 k.o.	2.50006	5.07371	1.02108	0.000421383
AT3G45650.1	NAXT1	nitrate excretion transporter1	nitrate excretion transporter1	GFP-BRC1	brc1 k.o.	7.0182	14.242	1.02098	0.000421383
AT4G00460.2	ATROPGEF3		RHO guanyl-nucleotide exchange factor 3	GFP-BRC1	brc1 k.o.	0.8036055	1.62984	1.020171	0.000421383
AT2G27830.1				GFP-BRC1	brc1 k.o.	7.76513	15.7479	1.02008	0.000421383
AT3G62960.1			Thioredoxin superfamily protein	GFP-BRC1	brc1 k.o.	0.896055	1.8152	1.01847	0.0371907
AT4G29610.1			Cytidine/deoxycytidylate deaminase family protein	GFP-BRC1	brc1 k.o.	3.28226	6.64855	1.01835	0.000421383
AT5G39610.1	ANAC092	Arabidopsis NAC domain containing protein 92	NAC domain containing protein  6	GFP-BRC1	brc1 k.o.	3.5083	7.10548	1.01816	0.000421383
AT5G15150.1	ATHB-3	homeobox 3	homeobox 3	GFP-BRC1	brc1 k.o.	4.14191	8.38848	1.01811	0.000421383
AT1G07135.1			glycine-rich protein	GFP-BRC1	brc1 k.o.	21.8764	44.2744	1.0171	0.000421383
AT3G19450.1	ATCAD4		GroES-like zinc-binding alcohol dehydrogenase family protein	GFP-BRC1	brc1 k.o.	51.8184	104.857	1.01689	0.000421383
AT2G23410.1	ACPT	cis-prenyltransferase	cis-prenyltransferase	GFP-BRC1	brc1 k.o.	2.19091	4.43307	1.01677	0.000800238
AT1G15100.1	RHA2A	RING-H2 finger A2A	RING-H2 finger A2A	GFP-BRC1	brc1 k.o.	17.4477	35.295	1.01643	0.000421383
AT5G62920.1	ARR6	response regulator 6	response regulator 6	GFP-BRC1	brc1 k.o.	18.5491	37.4971	1.01543	0.000421383
AT2G43050.1	ATPMEPCRD		Plant invertase/pectin methylesterase inhibitor superfamily	GFP-BRC1	brc1 k.o.	1.46092	2.95305	1.01533	0.000421383
AT5G12960.1			Putative glycosyl hydrolase of unknown function (DUF1680)	GFP-BRC1	brc1 k.o.	2.81332	5.68658	1.015287593	0.0422024
AT2G18450.1	SDH1-2	succinate dehydrogenase 1-2	succinate dehydrogenase 1-2	GFP-BRC1	brc1 k.o.	1.13897	2.30203	1.01518	0.000421383
AT4G28040.1	UMAMIT33	Usually multiple acids move in and out Transporters 33	nodulin MtN21 /EamA-like transporter family protein	GFP-BRC1	brc1 k.o.	0.422894333	0.854266333	1.014388698	0.00306362
AT1G33100.1			MATE efflux family protein	GFP-BRC1	brc1 k.o.	0.300264	0.6064	1.01404	0.0469846
AT5G53550.1	ATYSL3	YELLOW STRIPE LIKE 3	YELLOW STRIPE like 3	GFP-BRC1	brc1 k.o.	6.602875	13.3339	1.013932573	0.000421383
AT5G07220.1	ATBAG3	BCL-2-associated athanogene 3	BCL-2-associated athanogene 3	GFP-BRC1	brc1 k.o.	28.2646	57.0348	1.01284	0.000421383
AT2G41870.1			Remorin family protein	GFP-BRC1	brc1 k.o.	2.90324	5.85537	1.0121	0.000421383
AT1G28010.1	ABCB14	ATP-binding cassette B14	P-glycoprotein 14	GFP-BRC1	brc1 k.o.	2.59215	5.22394	1.01099	0.000421383
AT3G28220.1			TRAF-like family protein	GFP-BRC1	brc1 k.o.	1.53855	3.0962	1.00892	0.000421383
AT5G09570.1			Cox19-like CHCH family protein	GFP-BRC1	brc1 k.o.	3.11258	6.26372	1.00891	0.000421383
AT3G57380.1			Glycosyltransferase family 61 protein	GFP-BRC1	brc1 k.o.	1.62207	3.26221	1.00801	0.000421383
AT4G15380.1	CYP705A4	cytochrome P450, family 705, subfamily A, polypeptide 4	cytochrome P450, family 705, subfamily A, polypeptide 4	GFP-BRC1	brc1 k.o.	1.24696	2.50722	1.00767	0.000421383
AT1G11580.1	ATPMEPCRA		methylesterase PCR A	GFP-BRC1	brc1 k.o.	46.9184	94.3339	1.00762	0.000421383
AT5G52940.1			Protein of unknown function (DUF295)	GFP-BRC1	brc1 k.o.	1.50466	3.02523	1.0076	0.000421383
AT1G15890.1			Disease resistance protein (CC-NBS-LRR class) family	GFP-BRC1	brc1 k.o.	0.86729	1.74344	1.00735	0.000421383
AT5G43440.1			2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	GFP-BRC1	brc1 k.o.	12.81385	25.75555	1.007179341	0.000421383
AT1G74890.1	ARR15	response regulator 15	response regulator 15	GFP-BRC1	brc1 k.o.	2.19373	4.40885	1.00702	0.00245852
AT2G34940.1	BP80-3		VACUOLAR SORTING RECEPTOR 5	GFP-BRC1	brc1 k.o.	0.52347	1.05111	1.00574	0.00616256
AT1G33800.1	AtGXMT1		Protein of unknown function (DUF579)	GFP-BRC1	brc1 k.o.	13.0171	26.1375	1.00571	0.000421383
AT5G06300.1	LOG7	LONELY GUY 7	Putative lysine decarboxylase family protein	GFP-BRC1	brc1 k.o.	8.2527	16.5698	1.00562	0.000421383
AT2G42750.1			DNAJ heat shock N-terminal domain-containing protein	GFP-BRC1	brc1 k.o.	39.7251	79.7453	1.00535	0.000421383
AT4G17220.1	ATMAP70-5	microtubule-associated proteins 70-5	microtubule-associated proteins 70-5	GFP-BRC1	brc1 k.o.	1.57783	3.16589	1.00467	0.000421383
AT3G57740.1			Protein kinase superfamily protein	GFP-BRC1	brc1 k.o.	0.576945	1.15709	1.004	0.0208364
AT4G08770.1	Prx37	peroxidase 37	Peroxidase superfamily protein	GFP-BRC1	brc1 k.o.	30.683	61.5253	1.00374	0.000421383
AT2G48080.1			oxidoreductase, 2OG-Fe(II) oxygenase family protein	GFP-BRC1	brc1 k.o.	3.8124	7.64437	1.0037	0.000421383
AT2G44500.1			O-fucosyltransferase family protein	GFP-BRC1	brc1 k.o.	3.83408	7.68508	1.003179838	0.000421383
AT1G49130.2	BBX17	B-box domain protein 17	B-box type zinc finger protein with CCT domain	GFP-BRC1	brc1 k.o.	6.0094	12.04275	1.002872014	0.000421383
AT3G08660.1			Phototropic-responsive NPH3 family protein	GFP-BRC1	brc1 k.o.	0.459796	0.919647	1.00008	0.00560331
AT1G55990.1			glycine-rich protein	GFP-BRC1	brc1 k.o.	11.4048	22.8071	0.999842	0.000421383
AT3G53960.1			Major facilitator superfamily protein	GFP-BRC1	brc1 k.o.	2.45353	4.90425	0.999172	0.000421383
AT2G34180.1	ATWL2	WPL4-LIKE 2	CBL-interacting protein kinase 13	GFP-BRC1	brc1 k.o.	0.589208	1.17633	0.99744	0.00827891
AT4G20460.1			NAD(P)-binding Rossmann-fold superfamily protein	GFP-BRC1	brc1 k.o.	6.68909	13.3524	0.997213	0.000421383
AT1G14250.1			GDA1/CD39 nucleoside phosphatase family protein	GFP-BRC1	brc1 k.o.	1.97594	3.94398	0.997111	0.000421383
AT5G65925.1				GFP-BRC1	brc1 k.o.	10.5235	21.0012	0.996852	0.000421383
AT1G15825.1			hydroxyproline-rich glycoprotein family protein	GFP-BRC1	brc1 k.o.	2.22528	4.44043	0.99671	0.0377545
AT3G28270.1			Protein of unknown function (DUF677)	GFP-BRC1	brc1 k.o.	0.5259995	1.0492655	0.996246442	0.01934
AT3G51970.1	ASAT1	acyl-CoA sterol acyl transferase 1	acyl-CoA sterol acyl transferase 1	GFP-BRC1	brc1 k.o.	0.935323	1.865	0.995636	0.00450729
AT3G26180.2	CYP71B20	cytochrome P450, family 71, subfamily B, polypeptide 20	cytochrome P450, family 71, subfamily B, polypeptide 20	GFP-BRC1	brc1 k.o.	3.01154	6.003495	0.995301205	0.000421383
AT5G24155.1			FAD/NAD(P)-binding oxidoreductase family protein	GFP-BRC1	brc1 k.o.	3.88132	7.73197	0.99429	0.0119796
AT2G42430.1	ASL18	ASYMMETRIC LEAVES2-LIKE 18	lateral organ boundaries-domain 16	GFP-BRC1	brc1 k.o.	0.961613	1.9148	0.993665	0.00852135
AT1G23840.1				GFP-BRC1	brc1 k.o.	0.703338	1.40023	0.993376	0.0107972
AT4G16880.1			Leucine-rich repeat (LRR) family protein	GFP-BRC1	brc1 k.o.	8.71201	17.3393	0.992967	0.000421383
AT4G20260.3	ATPCAP1	ARABIDOPSIS THALIANA PLASMA-MEMBRANE ASSOCIATED CATION-BINDING PROTEIN 1	plasma-membrane associated cation-binding protein 1	GFP-BRC1	brc1 k.o.	30.74898333	61.12866667	0.991310389	0.000421383
AT1G32960.1	ATSBT3.3		Subtilase family protein	GFP-BRC1	brc1 k.o.	0.298857	0.593833	0.9906	0.0231765
AT5G12340.1				GFP-BRC1	brc1 k.o.	3.58777	7.12638	0.990084	0.000421383
AT4G38550.1			Arabidopsis phospholipase-like protein (PEARLI 4) family	GFP-BRC1	brc1 k.o.	24.3175	48.2995	0.990017	0.000421383
AT1G78120.1	TPR12	tetratricopeptide repeat 12	Tetratricopeptide repeat (TPR)-like superfamily protein	GFP-BRC1	brc1 k.o.	6.69214	13.2885	0.989638	0.000421383
AT3G54870.1	ARK1	ARMADILLO REPEAT-CONTAINING KINESIN 1	MORPHOGENESIS OF ROOT HAIR 2 (MRH2)	GFP-BRC1	brc1 k.o.	1.49335	2.96522	0.989588	0.0138816
AT5G55110.1			Stigma-specific Stig1 family protein	GFP-BRC1	brc1 k.o.	6.57305	13.0495	0.989361	0.000800238
AT1G21110.1	IGMT3	indole glucosinolate O-methyltransferase 3	O-methyltransferase family protein	GFP-BRC1	brc1 k.o.	15.1987	30.1675	0.989047	0.000421383
AT1G30900.1	BP80-3		VACUOLAR SORTING RECEPTOR 6	GFP-BRC1	brc1 k.o.	5.14921	10.219	0.988833	0.000421383
AT1G03220.1			Eukaryotic aspartyl protease family protein	GFP-BRC1	brc1 k.o.	105.352	209.022	0.988444	0.000421383
AT2G33790.1	AGP30	arabinogalactan protein 30	arabinogalactan protein 30	GFP-BRC1	brc1 k.o.	11.4982	22.8049	0.98794	0.000421383
AT1G78670.1	ATGGH3	gamma-glutamyl hydrolase 3	gamma-glutamyl hydrolase 3	GFP-BRC1	brc1 k.o.	26.7298	53.0003	0.98755	0.000421383
AT5G06865.2			other RNA	GFP-BRC1	brc1 k.o.	23.5738	46.73535	0.987329864	0.000421383
AT1G30760.1			FAD-binding Berberine family protein	GFP-BRC1	brc1 k.o.	3.40333	6.74508	0.98689	0.000421383
AT2G25260.1				GFP-BRC1	brc1 k.o.	4.74962	9.41289	0.986826	0.000421383
AT2G18980.1			Peroxidase superfamily protein	GFP-BRC1	brc1 k.o.	26.477	52.4318	0.985704	0.000421383
AT3G03700.1			Plasma-membrane choline transporter family protein	GFP-BRC1	brc1 k.o.	0.904957	1.79133	0.985106	0.000800238
AT3G10280.1	KCS14	3-ketoacyl-CoA synthase 14	3-ketoacyl-CoA synthase 14	GFP-BRC1	brc1 k.o.	1.4348	2.8401	0.985096	0.000421383
AT3G50140.1			Plant protein of unknown function (DUF247)	GFP-BRC1	brc1 k.o.	1.10121	2.17784	0.983808	0.00115255
AT1G23390.1			Kelch repeat-containing F-box family protein	GFP-BRC1	brc1 k.o.	49.1186	97.136	0.983736	0.000421383
AT5G06860.1	ATPGIP1	POLYGALACTURONASE INHIBITING PROTEIN 1	polygalacturonase inhibiting protein 1	GFP-BRC1	brc1 k.o.	33.803	66.8335	0.983418	0.000421383
AT3G59930.1				GFP-BRC1	brc1 k.o.	2.37227	4.6885	0.982856	0.00852135
AT3G21780.1	UGT71B6	UDP-glucosyl transferase 71B6	UDP-glucosyl transferase 71B6	GFP-BRC1	brc1 k.o.	0.64851	1.28157	0.982711	0.00876587
AT2G30600.3			BTB/POZ domain-containing protein	GFP-BRC1	brc1 k.o.	8.661182	17.11164	0.982342207	0.000421383
AT4G01770.1	RGXT1	rhamnogalacturonan xylosyltransferase 1	rhamnogalacturonan xylosyltransferase 1	GFP-BRC1	brc1 k.o.	1.68554	3.32946	0.982075	0.000421383
AT5G15940.1			NAD(P)-binding Rossmann-fold superfamily protein	GFP-BRC1	brc1 k.o.	0.817357	1.61337	0.981038	0.00534253
AT1G06830.1			Glutaredoxin family protein	GFP-BRC1	brc1 k.o.	25.6896	50.6383	0.979046	0.000421383
AT4G04540.1	CRK39	cysteine-rich RLK (RECEPTOR-like protein kinase) 39	cysteine-rich RLK (RECEPTOR-like protein kinase) 39	GFP-BRC1	brc1 k.o.	0.793062	1.56277	0.978601	0.000421383
AT2G39920.1			HAD superfamily, subfamily IIIB acid phosphatase 	GFP-BRC1	brc1 k.o.	2.180626667	4.296066667	0.978273586	0.000421383
AT1G58420.1			Uncharacterised conserved protein UCP031279	GFP-BRC1	brc1 k.o.	2.84609	5.60564	0.977899	0.00149465
AT1G18020.1			FMN-linked oxidoreductases superfamily protein	GFP-BRC1	brc1 k.o.	2.81645	5.54656	0.977714	0.000421383
AT2G14247.1			Expressed protein	GFP-BRC1	brc1 k.o.	111.504	219.537	0.977367	0.000421383
AT1G72890.2			Disease resistance protein (TIR-NBS class)	GFP-BRC1	brc1 k.o.	0.676413	1.33097	0.976499	0.00642754
AT4G23260.2	CRK18	cysteine-rich RLK (RECEPTOR-like protein kinase) 18	cysteine-rich RLK (RECEPTOR-like protein kinase) 18	GFP-BRC1	brc1 k.o.	4.79321	9.425935	0.975643584	0.000421383
AT2G26560.1	PLA IIA	PHOSPHOLIPASE A 2A	phospholipase A 2A	GFP-BRC1	brc1 k.o.	18.2629	35.9049	0.975266	0.000421383
AT5G20540.1	ATBRXL4	BREVIS RADIX-like 4	BREVIS RADIX-like 4	GFP-BRC1	brc1 k.o.	7.87559	15.4745	0.974431	0.000421383
AT1G79320.1	AtMC6	metacaspase 6	metacaspase 6	GFP-BRC1	brc1 k.o.	1.29908	2.5521	0.974189	0.001822
AT1G18400.1	BEE1	BR enhanced expression 1	BR enhanced expression 1	GFP-BRC1	brc1 k.o.	6.94288	13.6349	0.973702	0.000421383
AT4G05130.1	ATENT4		equilibrative nucleoside transporter 4	GFP-BRC1	brc1 k.o.	0.599239	1.17681	0.973676	0.0150451
AT5G01540.1	LecRK-VI.2	L-type lectin receptor kinase-VI.2	lectin receptor kinase a4.1	GFP-BRC1	brc1 k.o.	1.25234	2.45926	0.973595	0.000421383
